date,pm2.5,pm10,o3,no2,so2,co
2016-04-10,49,18,40,10,,
2016-04-11,61,32,58,16,,
2016-04-12,78,23,43,12,,
2016-04-13,70,33,57,16,,
2016-04-14,83,35,65,21,,
2016-04-15,83,26,46,15,,
2016-04-16,73,,,,,
2016-04-17,,,,,,
2016-04-18,,,,,,
2016-04-19,,12,27,11,,
2016-04-20,42,14,38,13,,
2016-04-21,50,14,30,9,,
2016-04-22,48,13,28,6,,
2016-04-23,45,,,,,
2016-04-24,,,,,,
2016-04-25,,19,52,10,,
2016-04-26,60,19,40,13,,
2016-04-27,62,26,56,18,,
2016-04-28,68,20,193,12,,
2016-04-29,65,21,190,11,,
2016-04-30,66,13,161,11,,
2016-05-01,48,18,198,7,,
2016-05-02,62,16,198,13,,
2016-05-03,58,16,120,14,,
2016-05-04,54,14,181,11,,
2016-05-05,51,11,201,12,,
2016-05-06,41,12,109,13,,
2016-05-07,43,9,137,11,,
2016-05-08,34,9,158,6,,
2016-05-09,36,11,165,13,,
2016-05-10,39,15,138,19,,
2016-05-11,52,15,143,15,,
2016-05-12,52,13,197,13,,
2016-05-13,47,12,105,14,,
2016-05-14,40,9,165,18,,
2016-05-15,34,7,168,12,,
2016-05-16,30,9,114,8,,
2016-05-17,33,11,40,15,,
2016-05-18,36,13,168,15,,
2016-05-19,47,11,123,15,,
2016-05-20,40,10,141,19,,
2016-05-21,37,9,129,14,,
2016-05-22,32,8,144,9,,
2016-05-23,30,8,195,14,,
2016-05-24,33,6,243,13,,
2016-05-25,24,8,91,23,,
2016-05-26,31,9,191,12,,
2016-05-27,31,23,184,14,,
2016-05-28,67,428,118,20,,
2016-05-29,451,291,210,16,,
2016-05-30,291,8,206,15,,
2016-05-31,26,7,234,14,,
2016-06-01,25,7,206,16,,
2016-06-02,23,7,200,17,,
2016-06-03,21,9,187,19,,
2016-06-04,26,9,124,19,,
2016-06-05,26,6,59,22,,
2016-06-06,23,,,,,
2016-06-07,,,,,,
2016-06-08,,,,,,
2016-06-09,,,,,,
2016-06-10,,,,,,
2016-06-11,,,,,,
2016-06-12,,,,,,
2016-06-13,,,,,,
2016-06-14,,3,273,12,,
2016-06-15,12,5,69,8,,
2016-06-16,20,,,,,
2016-06-17,,,,,,
2016-06-18,,,,,,
2016-06-19,,,,,,
2016-06-20,,,,,,
2016-06-21,,,,,,
2016-06-22,,1,243,6,,
2016-06-23,4,2,219,7,,
2016-06-24,10,2,167,11,,
2016-06-25,9,2,153,14,,
2016-06-26,10,3,209,9,,
2016-06-27,11,2,143,13,,
2016-06-28,8,,,,,
2016-06-29,,,,,,
2016-06-30,,,,,,
2016-07-01,,3,285,10,,
2016-07-02,12,3,159,16,,
2016-07-03,14,,,,,
2016-07-04,,,,,,
2016-07-05,,,,,,
2016-07-06,,,,,,
2016-07-07,,1,166,6,,
2016-07-08,6,2,162,12,,
2016-07-09,10,2,250,14,,
2016-07-10,9,5,149,29,,
2016-07-11,23,,,,,
2016-07-12,,3,214,15,,
2016-07-13,13,3,162,17,,
2016-07-14,15,4,298,10,,
2016-07-15,16,4,227,12,,
2016-07-16,15,4,170,19,,
2016-07-17,19,,,,,
2016-07-18,,,,,,
2016-07-19,,,,,,
2016-07-20,,,,,,
2016-07-21,,,,,,
2016-07-22,,,,,,
2016-07-23,,,,,,
2016-07-24,,,,,,
2016-07-25,,,,,,
2016-07-26,,,,,,
2016-07-27,,2,46,19,,
2016-07-28,11,,,,,
2016-07-29,,,,,,
2016-07-30,,,,,,
2016-07-31,,,,,,
2016-08-01,,,,,,
2016-08-02,,,,,,
2016-08-03,,,,,,
2016-08-04,,2,132,12,,
2016-08-05,8,2,224,14,,
2016-08-06,9,2,207,13,,
2016-08-07,11,2,183,14,,
2016-08-08,6,2,190,13,,
2016-08-09,8,2,231,15,,
2016-08-10,9,2,236,17,,
2016-08-11,10,3,104,18,,
2016-08-12,11,,,,,
2016-08-13,,,,,,
2016-08-14,,,,,,
2016-08-15,,,,,,
2016-08-16,,,,,,
2016-08-17,,,,,,
2016-08-18,,,,,,
2016-08-19,,,,,,
2016-08-20,,2,77,8,,
2016-08-21,6,,,,,
2016-08-22,,,,,,
2016-08-23,,,,,,
2016-08-24,,,,,,
2016-08-25,,,,,,
2016-08-26,,,,,,
2016-08-27,,,,,,
2016-08-28,,,,,,
